wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T02:46:07.697,37,66600,36,36,540,51,SUCCESS
2026-04-01T02:46:09.336,38,68239,38,38,570,55,SUCCESS
2026-04-01T02:46:11.075,39,69979,43,43,645,59,SUCCESS
2026-04-01T02:46:12.816,40,71720,42,42,630,62,SUCCESS
2026-04-01T02:46:14.557,41,73460,41,41,615,56,SUCCESS
2026-04-01T02:46:16.296,42,75202,45,45,675,56,SUCCESS
2026-04-01T02:46:18.038,43,76942,50,50,750,55,SUCCESS
2026-04-01T02:46:19.780,44,78684,48,48,720,55,SUCCESS
2026-04-01T02:46:21.418,45,80322,44,44,660,55,SUCCESS
2026-04-01T02:46:23.157,46,82062,41,41,615,53,SUCCESS
2026-04-01T02:46:24.812,47,83715,46,46,690,57,SUCCESS
2026-04-01T02:46:26.538,48,85441,45,45,675,52,SUCCESS
2026-04-01T02:46:28.177,49,87080,48,48,720,55,SUCCESS
2026-04-01T02:46:29.916,50,88820,46,46,690,60,SUCCESS
2026-04-01T02:46:31.656,51,90561,49,49,735,50,SUCCESS
2026-04-01T02:46:33.294,52,92199,47,47,705,54,SUCCESS
2026-04-01T02:46:34.935,53,93838,48,48,720,51,SUCCESS
2026-04-01T02:46:36.574,54,95478,47,47,705,58,SUCCESS
2026-04-01T02:46:38.313,55,97217,48,48,720,56,SUCCESS
2026-04-01T02:46:40.065,56,98966,48,48,720,58,SUCCESS
2026-04-01T02:46:41.794,57,100698,48,48,720,51,SUCCESS
2026-04-01T02:46:43.433,58,102337,47,47,705,54,SUCCESS
2026-04-01T02:46:45.174,59,104078,45,45,675,56,SUCCESS
2026-04-01T02:46:46.915,60,105818,47,47,705,57,SUCCESS
2026-04-01T02:46:48.656,61,107559,49,49,735,54,SUCCESS
2026-04-01T02:46:50.396,62,109300,48,48,720,57,SUCCESS
2026-04-01T02:46:52.140,63,111043,46,46,690,53,SUCCESS
2026-04-01T02:46:53.878,64,112782,47,47,705,56,SUCCESS
2026-04-01T02:46:55.619,65,114523,50,50,750,52,SUCCESS
2026-04-01T02:46:57.256,66,116161,48,48,720,57,SUCCESS
2026-04-01T02:46:58.998,67,117902,49,49,735,58,SUCCESS
2026-04-01T02:47:00.740,68,119642,50,50,750,57,SUCCESS
2026-04-01T02:47:02.478,69,121383,43,43,645,56,SUCCESS
2026-04-01T02:47:04.223,70,123125,50,50,750,52,SUCCESS
2026-04-01T02:47:05.858,71,124763,48,48,720,57,SUCCESS
2026-04-01T02:47:07.612,72,126517,28,28,420,60,SUCCESS
2026-04-01T02:47:09.341,73,128243,55,55,825,51,SUCCESS
2026-04-01T02:47:10.993,74,129897,53,53,795,54,SUCCESS
