wall_time,seq,frame_idx,rtt_ps,rtt_ns,t1_ps,t2_ps,t3_ps,t4_ps,rssi
2026-04-01T02:54:20.059,40,0,129687,129.687,111510755630532,69402231407812,69402321196875,111510845549282,-77
2026-04-01T02:54:20.060,40,1,132812,132.812,111512859630532,69404335384375,69404421196875,111512945575844,-77
2026-04-01T02:54:20.061,40,2,131249,131.249,111514974630532,69406450357812,69406536196875,111515060600844,-77
2026-04-01T02:54:20.062,40,3,129687,129.687,111517083630532,69408559331250,69408645196875,111517169625844,-77
2026-04-01T02:54:20.063,40,4,131250,131.250,111519192630532,69410668306250,69410754196875,111519278652407,-77
2026-04-01T02:54:20.070,40,5,131250,131.250,111521310630532,69412786281250,69412873196875,111521397677407,-78
2026-04-01T02:54:20.077,40,6,129687,129.687,111523420643032,69414896265625,69414982196875,111523506703969,-77
2026-04-01T02:54:20.085,40,7,131249,131.249,111526716630532,69418192214062,69418278196875,111526802744594,-77
2026-04-01T02:54:20.094,40,8,129687,129.687,111611868643032,69503343189062,69503433196875,111611958780532,-77
2026-04-01T02:54:20.101,40,9,132812,132.812,111613999630532,69505474151562,69505560196875,111614085808657,-77
2026-04-01T02:54:20.108,40,10,129687,129.687,111616099630532,69507574126562,69507660196875,111616185830532,-77
2026-04-01T02:54:20.116,40,11,132812,132.812,111618217630532,69509692101562,69509778196875,111618303858657,-77
2026-04-01T02:54:20.123,40,12,129687,129.687,111620335630532,69511810073437,69511895196875,111620420883657,-77
2026-04-01T02:54:20.131,40,13,129687,129.687,111622461630532,69513936046875,69514021196875,111622546910219,-77
2026-04-01T02:54:20.138,40,14,134374,134.374,111624569630532,69516044023437,69516129196875,111624654938344,-77
2026-04-01T02:54:20.146,40,15,128124,128.124,111626648643032,69518123007812,69518208196875,111626733960219,-77
2026-04-01T02:54:20.154,40,16,131250,131.250,111713010643032,69604483959375,69604573196875,111713100011782,-77
2026-04-01T02:54:20.161,40,17,129687,129.687,111715123643032,69606596931250,69606682196875,111715209038344,-77
2026-04-01T02:54:20.169,40,18,128124,128.124,111717232643032,69608705904687,69608791196875,111717318063344,-77
2026-04-01T02:54:20.175,40,19,132812,132.812,111719359630532,69610832868750,69610918196875,111719445091469,-77
2026-04-01T02:54:20.183,40,20,129687,129.687,111721468643032,69612941854687,69613027196875,111721554114907,-77
2026-04-01T02:54:20.190,40,21,129687,129.687,111723604630532,69615077815625,69615163196875,111723690141469,-77
2026-04-01T02:54:20.198,40,22,129687,129.687,111727819630532,69619292764062,69619378196875,111727905193032,-77
2026-04-01T02:54:20.206,40,23,132812,132.812,111816298630532,69707770689062,69707856196875,111816384271157,-77
2026-04-01T02:54:20.213,40,24,129687,129.687,111818473630532,69709945660937,69710031196875,111818559296157,-77
2026-04-01T02:54:20.221,40,25,129687,129.687,111820519643032,69711991646875,69712077196875,111820605322719,-77
2026-04-01T02:54:20.228,40,26,132812,132.812,111822637643032,69714109623437,69714195196875,111822723349282,-77
2026-04-01T02:54:20.236,40,27,128124,128.124,111824764630532,69716236582812,69716322196875,111824850372719,-77
2026-04-01T02:54:20.243,40,28,126562,126.562,111826892630532,69718364556250,69718450196875,111826978397719,-77
2026-04-01T02:54:20.251,40,29,129687,129.687,111828974630532,69720446532812,69720532196875,111829060424282,-77
2026-04-01T02:54:20.258,40,30,132812,132.812,111917379643032,69808850470312,69808940196875,111917469502407,-77
2026-04-01T02:54:20.266,40,31,132812,132.812,111919474630532,69810945431250,69811031196875,111919560528969,-77
2026-04-01T02:54:20.273,40,32,131249,131.249,111921592630532,69813063404687,69813149196875,111921678553969,-77
2026-04-01T02:54:20.281,40,33,135937,135.937,111923683643032,69815154393750,69815240196875,111923769582094,-77
2026-04-01T02:54:20.288,40,34,132812,132.812,111925828630532,69817299353125,69817385196875,111925914607094,-77
2026-04-01T02:54:20.296,40,35,129687,129.687,111927928630532,69819399326562,69819485196875,111928014630532,-77
2026-04-01T02:54:20.305,40,36,132812,132.812,111930064630532,69821535301562,69821621196875,111930150658657,-77
2026-04-01T02:54:20.311,40,37,129687,129.687,112017460630532,69908930234375,69909020196875,112017550722719,-77
2026-04-01T02:54:20.318,40,38,131250,131.250,112019537630532,69911007209375,69911093196875,112019623749282,-77
2026-04-01T02:54:20.324,40,39,132812,132.812,112021637630532,69913107185937,69913193196875,112021723774282,-77
2026-04-01T02:54:20.333,40,40,132812,132.812,112023737643032,69915207171875,69915293196875,112023823800844,-77
2026-04-01T02:54:20.340,40,41,132812,132.812,112117891643032,70009360025000,70009449196875,112117980947719,-78
2026-04-01T02:54:20.347,40,42,129687,129.687,112119958630532,70011426984375,70011512196875,112120043972719,-77
2026-04-01T02:54:20.354,40,43,128124,128.124,112122057643032,70013525970312,70013611196875,112122142997719,-77
2026-04-01T02:54:20.362,40,44,134374,134.374,112124193630532,70015661935937,70015747196875,112124279025844,-77
2026-04-01T02:54:20.369,40,45,129687,129.687,112126302630532,70017770907812,70017856196875,112126388049282,-77
2026-04-01T02:54:20.377,40,46,128124,128.124,112128420630532,70019888879687,70019974196875,112128506075844,-77
2026-04-01T02:54:20.384,40,47,131250,131.250,112130526630532,70021994856250,70022080196875,112130612102407,-78
2026-04-01T02:54:20.391,40,48,131249,131.249,112132617630532,70024085829687,70024171196875,112132703128969,-78
2026-04-01T02:54:20.398,40,49,129687,129.687,112219895643032,70111362776562,70111452196875,112219985193032,-77
2026-04-01T02:54:20.407,40,50,131249,131.249,112220982630532,70112449751562,70112535196875,112221068207094,-77
2026-04-01T02:54:20.414,40,51,129687,129.687,112223073643032,70114540737500,70114626196875,112223159232094,-77
2026-04-01T02:54:20.422,40,52,131249,131.249,112225200630532,70116667701562,70116753196875,112225286257094,-77
2026-04-01T02:54:20.430,40,53,132812,132.812,112227327630532,70118794676562,70118880196875,112227413283657,-77
2026-04-01T02:54:21.776,41,0,135937,135.937,113256088643032,71147543148437,71147629196875,113256174827407,-78
2026-04-01T02:54:21.783,41,1,134374,134.374,113258869643032,71150324110937,71150410196875,113258955863344,-79
2026-04-01T02:54:21.790,41,2,134374,134.374,113264578630532,71156033029687,71156118196875,113264663932094,-78
2026-04-01T02:54:21.798,41,3,132812,132.812,113266641643032,71158096015625,71158181196875,113266726957094,-79
2026-04-01T02:54:21.805,41,4,134375,134.375,113268740630532,71160194978125,71160280196875,113268825983657,-78
2026-04-01T02:54:21.814,41,5,135937,135.937,113352820630532,71244273950000,71244363196875,113352910013344,-79
2026-04-01T02:54:21.820,41,6,132812,132.812,113354915630532,71246368923437,71246454196875,113355001036782,-79
2026-04-01T02:54:21.828,41,7,135937,135.937,113357015630532,71248468901562,71248554196875,113357101061782,-79
2026-04-01T02:54:21.835,41,8,135937,135.937,113359133630532,71250586875000,71250672196875,113359219088344,-79
2026-04-01T02:54:21.842,41,9,131249,131.249,113361260630532,71252713845312,71252799196875,113361346113344,-79
2026-04-01T02:54:21.850,41,10,132812,132.812,113363360630532,71254813820312,71254899196875,113363446139907,-79
2026-04-01T02:54:21.857,41,11,131250,131.250,113365489630532,71256942793750,71257028196875,113365575164907,-79
2026-04-01T02:54:21.865,41,12,137499,137.499,113367571630532,71259024773437,71259110196875,113367657191469,-78
2026-04-01T02:54:21.872,41,13,128125,128.125,113454311630532,71345763706250,71345853196875,113454401249282,-78
2026-04-01T02:54:21.879,41,14,126562,126.562,113456406630532,71347858679687,71347944196875,113456492274282,-78
2026-04-01T02:54:21.888,41,15,128124,128.124,113458515630532,71349967654687,71350053196875,113458601300844,-78
2026-04-01T02:54:21.895,41,16,128124,128.124,113460633630532,71352085629687,71352171196875,113460719325844,-78
2026-04-01T02:54:21.904,41,17,126562,126.562,113462760630532,71354212601562,71354298196875,113462846352407,-78
2026-04-01T02:54:21.910,41,18,124999,124.999,113464851643032,71356303589062,71356389196875,113464937375844,-78
2026-04-01T02:54:21.917,41,19,121874,121.874,113556139630532,71447590457812,71447680196875,113556229491469,-78
2026-04-01T02:54:21.923,41,20,121874,121.874,113558189630532,71449640432812,71449726196875,113558275516469,-77
2026-04-01T02:54:21.931,41,21,120312,120.312,113560298643032,71451749418750,71451835196875,113560384541469,-77
2026-04-01T02:54:21.938,41,22,121875,121.875,113562434630532,71453885381250,71453971196875,113562520568032,-78
2026-04-01T02:54:21.946,41,23,118750,118.750,113564561630532,71456012353125,71456098196875,113564647593032,-78
2026-04-01T02:54:21.956,41,24,118749,118.749,113566648643032,71458099339062,71458185196875,113566734619594,-78
2026-04-01T02:54:21.960,41,25,124999,124.999,113568784630532,71460235304687,71460321196875,113568870647719,-78
2026-04-01T02:54:21.969,41,26,120312,120.312,113570875630532,71462326276562,71462413196875,113570962671157,-78
2026-04-01T02:54:21.976,41,27,124999,124.999,113656428630532,71547878232812,71547968196875,113656518719594,-77
2026-04-01T02:54:21.984,41,28,126562,126.562,113658503630532,71549953207812,71550039196875,113658589746157,-77
2026-04-01T02:54:21.991,41,29,123437,123.437,113660630630532,71552080179687,71552166196875,113660716771157,-77
2026-04-01T02:54:21.998,41,30,124999,124.999,113662748630532,71554198154687,71554284196875,113662834797719,-77
2026-04-01T02:54:22.006,41,31,124999,124.999,113664875630532,71556325129687,71556411196875,113664961822719,-77
2026-04-01T02:54:22.013,41,32,126562,126.562,113666966630532,71558416104687,71558502196875,113667052849282,-77
2026-04-01T02:54:22.021,41,33,126562,126.562,113669093630532,71560543078125,71560628196875,113669178875844,-77
2026-04-01T02:54:22.029,41,34,128125,128.125,113671174630532,71562624053125,71562709196875,113671259902407,-77
2026-04-01T02:54:22.035,41,35,126562,126.562,113759261630532,71650709975000,71650799196875,113759350978969,-77
2026-04-01T02:54:22.043,41,36,123437,123.437,113763202630532,71654650923437,71654736196875,113763288027407,-76
2026-04-01T02:54:22.050,41,37,124999,124.999,113765356630532,71656804898437,71656890196875,113765442053969,-76
2026-04-01T02:54:22.057,41,38,124999,124.999,113767447630532,71658895873437,71658981196875,113767533078969,-77
2026-04-01T02:54:22.065,41,39,124999,124.999,113769529643032,71660977860937,71661063196875,113769615103969,-77
2026-04-01T02:54:22.072,41,40,128124,128.124,113771674630532,71663122823437,71663208196875,113771760132094,-77
2026-04-01T02:54:22.080,41,41,123437,123.437,113773756630532,71665204793750,71665290196875,113773842157094,-77
2026-04-01T02:54:22.088,41,42,129687,129.687,113858833630532,71750280756250,71750370196875,113858923200844,-77
