wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T02:54:20.058,40,69799,130,130,1950,54,SUCCESS
2026-04-01T02:54:21.767,41,71540,128,128,1920,55,SUCCESS
2026-04-01T02:54:23.509,42,73282,126,126,1890,55,SUCCESS
2026-04-01T02:54:25.250,43,75022,131,131,1965,56,SUCCESS
2026-04-01T02:54:26.991,44,76763,122,122,1830,57,SUCCESS
2026-04-01T02:54:28.733,45,78506,125,125,1875,61,SUCCESS
2026-04-01T02:54:30.472,46,80244,129,129,1935,55,SUCCESS
2026-04-01T02:54:32.212,47,81985,127,127,1905,52,SUCCESS
2026-04-01T02:54:33.850,48,83623,127,127,1905,58,SUCCESS
2026-04-01T02:54:35.594,49,85364,129,129,1935,53,SUCCESS
2026-04-01T02:54:37.233,50,87007,133,133,1995,52,SUCCESS
2026-04-01T02:54:38.868,51,88641,130,130,1950,57,SUCCESS
2026-04-01T02:54:40.610,52,90381,131,131,1965,58,SUCCESS
2026-04-01T02:54:42.349,53,92122,131,131,1965,52,SUCCESS
2026-04-01T02:54:43.988,54,93760,129,129,1935,60,SUCCESS
2026-04-01T02:54:45.729,55,95502,129,129,1935,58,SUCCESS
2026-04-01T02:54:47.469,56,97242,131,131,1965,56,SUCCESS
2026-04-01T02:54:49.210,57,98983,132,132,1980,57,SUCCESS
2026-04-01T02:54:50.953,58,100726,127,127,1905,58,SUCCESS
2026-04-01T02:54:52.692,59,102465,130,130,1950,52,SUCCESS
2026-04-01T02:54:54.330,60,104103,131,131,1965,56,SUCCESS
2026-04-01T02:54:56.071,61,105843,132,132,1980,51,SUCCESS
2026-04-01T02:54:57.709,62,107481,134,134,2010,58,SUCCESS
2026-04-01T02:54:59.450,63,109223,132,132,1980,55,SUCCESS
2026-04-01T02:55:01.191,64,110963,132,132,1980,53,SUCCESS
2026-04-01T02:55:02.829,65,112603,129,129,1935,52,SUCCESS
2026-04-01T02:55:04.469,66,114241,126,126,1890,56,SUCCESS
2026-04-01T02:55:06.209,67,115982,129,129,1935,57,SUCCESS
2026-04-01T02:55:07.949,68,117723,127,127,1905,56,SUCCESS
2026-04-01T02:55:09.690,69,119462,129,129,1935,60,SUCCESS
2026-04-01T02:55:11.433,70,121204,129,129,1935,56,SUCCESS
2026-04-01T02:55:13.172,71,122945,128,128,1920,53,SUCCESS
2026-04-01T02:55:14.815,72,124587,128,128,1920,52,SUCCESS
2026-04-01T02:55:16.450,73,126223,127,127,1905,55,SUCCESS
2026-04-01T02:55:18.190,74,127961,130,130,1950,54,SUCCESS
2026-04-01T02:55:19.930,75,129703,121,121,1815,50,SUCCESS
2026-04-01T02:55:21.572,76,131345,119,119,1785,57,SUCCESS
