wall_time,seq,frame_idx,rtt_ps,rtt_ns,t1_ps,t2_ps,t3_ps,t4_ps,rssi
2026-04-01T03:36:09.498,10,0,31249,31.249,60142024762500,20452841948437,20452927196875,60142110042187,-52
2026-04-01T03:36:09.506,10,1,31249,31.249,60144141762500,20454958917187,20455044196875,60144227073437,-52
2026-04-01T03:36:09.512,10,2,31249,31.249,60146249762500,20457066885937,20457152196875,60146335104687,-52
2026-04-01T03:36:09.519,10,3,31250,31.250,60148370762500,20459187853125,20459273196875,60148456137500,-52
2026-04-01T03:36:09.526,10,4,31250,31.250,60150477762500,20461294821875,20461380196875,60150563168750,-51
2026-04-01T03:36:09.532,10,5,31249,31.249,60152603762500,20463420789062,20463506196875,60152689201562,-51
2026-04-01T03:36:09.540,10,6,31249,31.249,60154698762500,20465515757812,20465601196875,60154784232812,-52
2026-04-01T03:36:09.547,10,7,31250,31.250,60240969762500,20551785462500,20551875196875,60241059528125,-51
2026-04-01T03:36:09.554,10,8,29687,29.687,60243073762500,20553889429687,20553975196875,60243159559375,-51
2026-04-01T03:36:09.561,10,9,29687,29.687,60245183762500,20555999398437,20556085196875,60245269590625,-51
2026-04-01T03:36:09.569,10,10,31249,31.249,60247283775000,20558099379687,20558185196875,60247369623437,-51
2026-04-01T03:36:09.575,10,11,32812,32.812,60249419762500,20560235335937,20560321196875,60249505656250,-51
2026-04-01T03:36:09.583,10,12,31250,31.250,60251528762500,20562344303125,20562430196875,60251614687500,-51
2026-04-01T03:36:09.589,10,13,31250,31.250,60254454762500,20565270259375,20565356196875,60254540731250,-51
2026-04-01T03:36:09.596,10,14,31250,31.250,60255735762500,20566551240625,20566637196875,60255821750000,-51
2026-04-01T03:36:09.603,10,15,29687,29.687,60342936762500,20653750929687,20653840196875,60343026059375,-51
2026-04-01T03:36:09.612,10,16,31249,31.249,60344212762500,20655026910937,20655112196875,60344298079687,-51
2026-04-01T03:36:09.618,10,17,29687,29.687,60346311762500,20657125878125,20657211196875,60346397110937,-51
2026-04-01T03:36:09.626,10,18,31249,31.249,60350446762500,20661260817187,20661346196875,60350532173437,-51
2026-04-01T03:36:09.633,10,19,31249,31.249,60350647775000,20661461826562,20661547196875,60350733176562,-51
2026-04-01T03:36:09.640,10,20,31249,31.249,60354183762500,20664997760937,20665083196875,60354269229687,-51
2026-04-01T03:36:09.647,10,21,31249,31.249,60354789762500,20665603751562,20665689196875,60354875239062,-51
2026-04-01T03:36:09.654,10,22,31249,31.249,60356876762500,20667690720312,20667776196875,60356962270312,-51
2026-04-01T03:36:09.662,10,23,29687,29.687,60443325775000,20754138432812,20754228196875,60443415568750,-52
2026-04-01T03:36:09.668,10,24,29687,29.687,60445429762500,20756242389062,20756328196875,60445515600000,-52
2026-04-01T03:36:09.675,10,25,29687,29.687,60447511775000,20758324370312,20758410196875,60447597631250,-52
2026-04-01T03:36:09.684,10,26,29687,29.687,60451789762500,20762602293750,20762689196875,60451876695312,-52
2026-04-01T03:36:09.691,10,27,29687,29.687,60455424775000,20766237251562,20766323196875,60455510750000,-52
2026-04-01T03:36:09.699,10,28,29687,29.687,60455983775000,20766796243750,20766882196875,60456069757812,-52
2026-04-01T03:36:09.706,10,29,28125,28.125,60459233762500,20770046181250,20770132196875,60459319806250,-52
2026-04-01T03:36:09.713,10,30,31249,31.249,60545277775000,20856088901562,20856178196875,60545367101562,-52
2026-04-01T03:36:09.720,10,31,28125,28.125,60547371762500,20858182856250,20858268196875,60547457131250,-52
2026-04-01T03:36:09.727,10,32,29687,29.687,60549615775000,20860426835937,20860512196875,60549701165625,-52
2026-04-01T03:36:09.734,10,33,28125,28.125,60551727762500,20862538790625,20862624196875,60551813196875,-52
2026-04-01T03:36:09.742,10,34,31249,31.249,60553827762500,20864638760937,20864724196875,60553913229687,-52
2026-04-01T03:36:09.750,10,35,29687,29.687,60555945762500,20866756728125,20866842196875,60556031260937,-52
2026-04-01T03:36:09.756,10,36,31250,31.250,60558072762500,20868883696875,20868969196875,60558158293750,-54
2026-04-01T03:36:09.763,10,37,29687,29.687,60560145762500,20870956665625,20871042196875,60560231323437,-52
2026-04-01T03:36:09.770,10,38,31249,31.249,60647327762500,20958137354687,20958227196875,60647417635937,-52
2026-04-01T03:36:09.777,10,39,29687,29.687,60649395762500,20960205323437,20960291196875,60649481665625,-52
2026-04-01T03:36:09.784,10,40,29687,29.687,60651513762500,20962323292187,20962410196875,60651600696875,-52
2026-04-01T03:36:09.791,10,41,29687,29.687,60653614775000,20964424271875,20964510196875,60653700729687,-52
2026-04-01T03:36:09.799,10,42,29687,29.687,60655741762500,20966551228125,20966637196875,60655827760937,-52
2026-04-01T03:36:09.805,10,43,28124,28.124,60657877762500,20968687195312,20968773196875,60657963792187,-52
2026-04-01T03:36:09.812,10,44,29687,29.687,60660004762500,20970814164062,20970900196875,60660090825000,-52
2026-04-01T03:36:09.819,10,45,29687,29.687,60662083762500,20972893132812,20972979196875,60662169856250,-52
2026-04-01T03:36:09.826,10,46,31249,31.249,60746682762500,21057490860937,21057580196875,60746772129687,-52
2026-04-01T03:36:09.834,10,47,29687,29.687,60748786762500,21059594828125,21059680196875,60748872160937,-52
2026-04-01T03:36:09.841,10,48,29687,29.687,60750886762500,21061694798437,21061780196875,60750972190625,-52
2026-04-01T03:36:09.849,10,49,29687,29.687,60752986762500,21063794765625,21063880196875,60753072223437,-52
2026-04-01T03:36:09.856,10,50,29687,29.687,60755093775000,21065901746875,21065987196875,60755179254687,-52
2026-04-01T03:36:09.863,10,51,67187,67.187,60757215762500,21068023739062,21068109196875,60757301287500,-52
2026-04-01T03:36:09.871,10,52,31250,31.250,60759324775000,21070132684375,21070218196875,60759410318750,-52
2026-04-01T03:36:09.878,10,53,29687,29.687,60761415762500,21072223639062,21072309196875,60761501350000,-52
2026-04-01T03:36:09.885,10,54,32812,32.812,60849628775000,21160435326562,21160525196875,60849718678125,-52
2026-04-01T03:36:09.893,10,55,32812,32.812,60850988775000,21161795306250,21161881196875,60851074698437,-52
