wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:36:09.490,10,20849,31,31,465,60,SUCCESS
2026-04-01T03:36:11.230,11,22589,32,32,480,60,SUCCESS
2026-04-01T03:36:12.970,12,24329,33,33,495,59,SUCCESS
2026-04-01T03:36:14.718,13,26076,36,36,540,60,SUCCESS
2026-04-01T03:36:16.452,14,27811,38,38,570,61,SUCCESS
2026-04-01T03:36:18.191,15,29552,33,33,495,62,SUCCESS
2026-04-01T03:36:19.934,16,31293,22,22,330,61,SUCCESS
2026-04-01T03:36:21.675,17,33033,9,9,135,59,SUCCESS
2026-04-01T03:36:23.416,18,34774,12,12,180,56,SUCCESS
2026-04-01T03:36:25.055,19,36413,15,15,225,61,SUCCESS
2026-04-01T03:36:26.794,20,38153,17,17,255,60,SUCCESS
2026-04-01T03:36:28.537,21,39894,24,24,360,61,SUCCESS
2026-04-01T03:36:30.278,22,41637,21,21,315,62,SUCCESS
2026-04-01T03:36:32.016,23,43376,18,18,270,61,SUCCESS
2026-04-01T03:36:33.758,24,45116,10,10,150,36,SUCCESS
2026-04-01T03:36:35.307,25,46667,9,9,135,46,SUCCESS
2026-04-01T03:36:36.932,26,48291,14,14,210,51,SUCCESS
2026-04-01T03:36:38.571,27,49931,34,34,510,59,SUCCESS
2026-04-01T03:36:40.314,28,51673,32,32,480,61,SUCCESS
2026-04-01T03:36:42.052,29,53411,32,32,480,58,SUCCESS
2026-04-01T03:36:43.793,30,55152,31,31,465,60,SUCCESS
2026-04-01T03:36:45.533,31,56892,31,31,465,61,SUCCESS
2026-04-01T03:36:47.274,32,58633,31,31,465,59,SUCCESS
2026-04-01T03:36:49.015,33,60374,29,29,435,62,SUCCESS
2026-04-01T03:36:50.763,34,62122,26,26,390,58,SUCCESS
2026-04-01T03:36:52.495,35,63856,24,24,360,61,SUCCESS
2026-04-01T03:36:54.237,36,65596,22,22,330,61,SUCCESS
2026-04-01T03:36:55.978,37,67337,25,25,375,60,SUCCESS
2026-04-01T03:36:57.719,38,69078,26,26,390,61,SUCCESS
2026-04-01T03:36:59.459,39,70819,19,19,285,61,SUCCESS
2026-04-01T03:37:01.200,40,72559,25,25,375,62,SUCCESS
2026-04-01T03:37:02.941,41,74300,25,25,375,62,SUCCESS
2026-04-01T03:37:04.681,42,76041,26,26,390,61,SUCCESS
2026-04-01T03:37:06.426,43,77785,23,23,345,61,SUCCESS
2026-04-01T03:37:08.161,44,79522,23,23,345,61,SUCCESS
2026-04-01T03:37:09.905,45,81265,23,23,345,62,SUCCESS
2026-04-01T03:37:11.644,46,83004,24,24,360,62,SUCCESS
2026-04-01T03:37:13.387,47,84746,26,26,390,62,SUCCESS
2026-04-01T03:37:15.126,48,86485,28,28,420,62,SUCCESS
2026-04-01T03:37:16.868,49,88227,27,27,405,60,SUCCESS
2026-04-01T03:37:18.606,50,89967,24,24,360,61,SUCCESS
2026-04-01T03:37:20.349,51,91708,17,17,255,61,SUCCESS
2026-04-01T03:37:22.090,52,93449,18,18,270,61,SUCCESS
2026-04-01T03:37:23.831,53,95190,14,14,210,62,SUCCESS
2026-04-01T03:37:25.571,54,96930,25,25,375,57,SUCCESS
2026-04-01T03:37:27.311,55,98671,2,2,30,61,SUCCESS
2026-04-01T03:37:29.754,56,101115,0,0,0,0,NO_RESPONSE
