wall_time,seq,frame_idx,rtt_ps,rtt_ns,t1_ps,t2_ps,t3_ps,t4_ps,rssi
2026-04-01T03:06:23.157,36,16,7812,7.812,136322055762500,64274316645312,64274406196875,136322145321875,-44
2026-04-01T03:06:23.164,36,17,7812,7.812,136324168762500,64276429617187,64276515196875,136324254350000,-44
2026-04-01T03:06:23.171,36,18,9374,9.374,136326286762500,64278547589062,64278633196875,136326372379687,-44
2026-04-01T03:06:23.178,36,19,7812,7.812,136328368775000,64280629573437,64280715196875,136328454406250,-44
2026-04-01T03:06:23.187,36,20,7812,7.812,136330486775000,64282747543750,64282833196875,136330572435937,-44
2026-04-01T03:06:23.194,36,21,9374,9.374,136332595775000,64284856517187,64284942196875,136332681464062,-41
2026-04-01T03:06:23.201,36,22,7812,7.812,136334731762500,64286992475000,64287078196875,136334817492187,-44
2026-04-01T03:06:23.210,36,23,6250,6.250,136423289775000,64375549300000,64375639196875,136423379678125,-44
2026-04-01T03:06:23.215,36,24,7812,7.812,136425366775000,64377626273437,64377712196875,136425452706250,-44
2026-04-01T03:06:23.223,36,25,7812,7.812,136427511762500,64379771231250,64379857196875,136427597735937,-44
2026-04-01T03:06:23.231,36,26,7812,7.812,136429593775000,64381853215625,64381939196875,136429679764062,-44
2026-04-01T03:06:23.237,36,27,7812,7.812,136431711775000,64383971187500,64384057196875,136431797792187,-44
2026-04-01T03:06:23.245,36,28,7812,7.812,136433856762500,64386116146875,64386202196875,136433942820312,-44
2026-04-01T03:06:23.252,36,29,7812,7.812,136435965762500,64388225118750,64388311196875,136436051848437,-44
2026-04-01T03:06:23.259,36,30,6250,6.250,136438047762500,64390307090625,64390392196875,136438132875000,-44
2026-04-01T03:06:23.267,36,31,7812,7.812,136524901762500,64477159926562,64477249196875,136524991040625,-44
2026-04-01T03:06:23.275,36,32,9374,9.374,136527013762500,64479271898437,64479357196875,136527099070312,-44
2026-04-01T03:06:23.281,36,33,7812,7.812,136529184762500,64481442868750,64481528196875,136529270098437,-44
2026-04-01T03:06:23.288,36,34,6250,6.250,136531256762500,64483514840625,64483600196875,136531342125000,-44
2026-04-01T03:06:23.295,36,35,7812,7.812,136533365775000,64485623825000,64485709196875,136533451154687,-44
2026-04-01T03:06:23.303,36,36,6250,6.250,136537300775000,64489558771875,64489644196875,136537386206250,-44
2026-04-01T03:06:23.310,36,37,7812,7.812,136537822762500,64490080753125,64490166196875,136537908214062,-44
2026-04-01T03:06:23.318,36,38,9375,9.375,136539760775000,64492018740625,64492104196875,136539846240625,-44
2026-04-01T03:06:23.325,36,39,7812,7.812,136626938762500,64579195557812,64579285196875,136627028409375,-44
2026-04-01T03:06:23.332,36,40,6249,6.249,136629012762500,64581269529687,64581355196875,136629098435937,-44
2026-04-01T03:06:23.339,36,41,7812,7.812,136631103775000,64583360514062,64583446196875,136631189465625,-44
2026-04-01T03:06:23.346,36,42,7812,7.812,136633261762500,64585518473437,64585604196875,136633347493750,-44
2026-04-01T03:06:23.353,36,43,7812,7.812,136635364762500,64587621445312,64587707196875,136635450521875,-45
2026-04-01T03:06:23.361,36,44,6250,6.250,136637473762500,64589730415625,64589816196875,136637559550000,-45
2026-04-01T03:06:23.368,36,45,7812,7.812,136639583775000,64591840401562,64591926196875,136639669578125,-44
2026-04-01T03:06:23.376,36,46,7812,7.812,136641674762500,64593931360937,64594017196875,136641760606250,-44
2026-04-01T03:06:23.383,36,47,6249,6.249,136727287762500,64679543210937,64679634196875,136727378754687,-45
2026-04-01T03:06:23.390,36,48,7812,7.812,136728843762500,64681099190625,64681185196875,136728929776562,-45
2026-04-01T03:06:23.397,36,49,7812,7.812,136730959762500,64683215162500,64683301196875,136731045804687,-44
2026-04-01T03:06:23.404,36,50,7812,7.812,136733067762500,64685323134375,64685409196875,136733153832812,-45
2026-04-01T03:06:23.411,36,51,7812,7.812,136735176762500,64687432106250,64687517196875,136735261860937,-44
2026-04-01T03:06:23.418,36,52,7812,7.812,136737293762500,64689549078125,64689634196875,136737378889062,-45
2026-04-01T03:06:23.426,36,53,7812,7.812,136739419762500,64691675048437,64691760196875,136739504918750,-44
2026-04-01T03:06:23.434,36,54,6249,6.249,136741500762500,64693756020312,64693841196875,136741585945312,-44
2026-04-01T03:06:23.441,36,55,6249,6.249,136829279762500,64781533842187,64781623196875,136829369123437,-45
2026-04-01T03:06:23.448,36,56,6249,6.249,136829961775000,64782215845312,64782301196875,136830047132812,-45
2026-04-01T03:06:23.456,36,57,6249,6.249,136832097762500,64784351804687,64784437196875,136832183160937,-45
2026-04-01T03:06:23.463,36,58,7812,7.812,136834197762500,64786451776562,64786537196875,136834283190625,-44
2026-04-01T03:06:23.470,36,59,6249,6.249,136838574762500,64790828717187,64790914196875,136838660248437,-44
2026-04-01T03:06:23.477,36,60,6250,6.250,136838766775000,64791020728125,64791106196875,136838852250000,-44
2026-04-01T03:06:24.783,37,0,6249,6.249,137860827762500,65813068017187,65813157196875,137860916948437,-45
2026-04-01T03:06:24.790,37,1,6249,6.249,137862939762500,65815179989062,65815265196875,137863024976562,-45
2026-04-01T03:06:24.797,37,2,7812,7.812,137865047762500,65817287960937,65817373196875,137865133006250,-45
2026-04-01T03:06:24.804,37,3,6250,6.250,137867164762500,65819404931250,65819490196875,137867250034375,-45
2026-04-01T03:06:24.811,37,4,6250,6.250,137869272775000,65821512915625,65821598196875,137869358062500,-45
2026-04-01T03:06:24.819,37,5,7812,7.812,137871580762500,65823820873437,65823906196875,137871666093750,-45
2026-04-01T03:06:24.826,37,6,7812,7.812,137873517762500,65825757846875,65825843196875,137873603120312,-45
2026-04-01T03:06:24.833,37,7,7812,7.812,137875968775000,65828208826562,65828294196875,137876054153125,-45
2026-04-01T03:06:24.840,37,8,6250,6.250,137963683762500,65915922634375,65916012196875,137963773331250,-45
2026-04-01T03:06:24.847,37,9,6250,6.250,137965787762500,65918026606250,65918112196875,137965873359375,-45
2026-04-01T03:06:24.855,37,10,7812,7.812,137967896762500,65920135578125,65920221196875,137967982389062,-45
2026-04-01T03:06:24.862,37,11,9374,9.374,137970005775000,65922244564062,65922330196875,137970091417187,-45
2026-04-01T03:06:24.869,37,12,7812,7.812,137972123775000,65924362534375,65924448196875,137972209445312,-45
2026-04-01T03:06:24.877,37,13,6249,6.249,137974259762500,65926498492187,65926584196875,137974345473437,-45
2026-04-01T03:06:24.885,37,14,4294967295,4294967.295,138003839762500,65956078053125,65956163196875,138003924871875,-44
2026-04-01T03:06:24.892,37,15,6249,6.249,138064486762500,66016724279687,66016814196875,138064576685937,-45
2026-04-01T03:06:24.899,37,16,7812,7.812,138065186762500,66017424270312,66017510196875,138065272696875,-45
2026-04-01T03:06:24.906,37,17,6249,6.249,138068221775000,66020459242187,66020545196875,138068307735937,-45
2026-04-01T03:06:24.913,37,18,6249,6.249,138069385775000,66021623226562,66021709196875,138069471751562,-45
