wall_time,seq,frame_idx,rtt_ps,rtt_ns,t1_ps,t2_ps,t3_ps,t4_ps,rssi
2026-04-01T03:13:17.268,3,33,17187,17.187,269063751051844,7303728373437,7303814196875,269063836892469,-47
2026-04-01T03:13:17.276,3,34,18750,18.750,269065842064344,7305819356250,7305905196875,269065927923719,-47
2026-04-01T03:13:17.284,3,35,20312,20.312,269067933051844,7307910314062,7307996196875,269068018954969,-47
2026-04-01T03:13:17.290,3,36,20312,20.312,269155346051844,7395322051562,7395411196875,269155435217469,-48
2026-04-01T03:13:17.298,3,37,17187,17.187,269157404051844,7397380020312,7397465196875,269157489245594,-47
2026-04-01T03:13:17.305,3,38,18750,18.750,269159496064344,7399472003125,7399557196875,269159581276844,-47
2026-04-01T03:13:17.312,3,39,18749,18.749,269163488051844,7403463932812,7403549196875,269163573334656,-47
2026-04-01T03:13:17.320,3,40,17187,17.187,269163760051844,7403735928125,7403821196875,269163845337781,-48
2026-04-01T03:13:17.329,3,41,18749,18.749,269165852051844,7405827898437,7405913196875,269165937369031,-47
2026-04-01T03:13:17.333,3,42,18750,18.750,269170084051844,7410059837500,7410145196875,269170169429969,-47
2026-04-01T03:13:17.340,3,43,18749,18.749,269255615051844,7495589601562,7495679196875,269255704665906,-48
2026-04-01T03:13:17.348,3,44,18750,18.750,269257449051844,7497423575000,7497509196875,269257534692469,-48
2026-04-01T03:13:17.355,3,45,18749,18.749,269262234051844,7502208504687,7502294196875,269262319762781,-48
2026-04-01T03:13:17.362,3,46,18749,18.749,269262453051844,7502427501562,7502513196875,269262538765906,-48
2026-04-01T03:13:17.369,3,47,18749,18.749,269263795051844,7503769482812,7503855196875,269263880784656,-48
2026-04-01T03:13:17.376,3,48,18749,18.749,269265914051844,7505888451562,7505974196875,269265999815906,-48
2026-04-01T03:13:17.383,3,49,18750,18.750,269267996064344,7507970434375,7508056196875,269268081845594,-48
2026-04-01T03:13:17.390,3,50,18749,18.749,269270087051844,7510061392187,7510147196875,269270172875281,-48
2026-04-01T03:13:17.398,3,51,17187,17.187,269357625051844,7597598125000,7597688196875,269357715140906,-48
2026-04-01T03:13:17.405,3,52,18750,18.750,269358559051844,7598532112500,7598617196875,269358644154969,-48
2026-04-01T03:13:17.412,3,53,17187,17.187,269360658051844,7600631081250,7600716196875,269360743184656,-48
2026-04-01T03:13:17.419,3,54,18749,18.749,269364052051844,7604025032812,7604110196875,269364137234656,-48
2026-04-01T03:13:17.425,3,55,18750,18.750,269364873051844,7604846021875,7604931196875,269364958245594,-48
2026-04-01T03:13:17.434,3,56,18750,18.750,269366972064344,7606945003125,7607030196875,269367057276844,-48
2026-04-01T03:13:18.774,4,0,18749,18.749,270391578051844,8631536201562,8631627196875,270391669065906,-49
2026-04-01T03:13:18.781,4,1,18749,18.749,270392441051844,8632399189062,8632485196875,270392527078406,-49
2026-04-01T03:13:18.788,4,2,18750,18.750,270394523064344,8634481171875,8634567196875,270394609108094,-48
2026-04-01T03:13:18.796,4,3,15624,15.624,270396650051844,8636608126562,8636694196875,270396736137781,-49
2026-04-01T03:13:18.803,4,4,18749,18.749,270398746051844,8638704098437,8638789196875,270398831169031,-49
2026-04-01T03:13:18.809,4,5,17187,17.187,270400881051844,8640839067187,8640924196875,270400966198719,-49
2026-04-01T03:13:18.817,4,6,17187,17.187,270402980051844,8642938035937,8643023196875,270403065229969,-49
2026-04-01T03:13:18.823,4,7,17187,17.187,270405043064344,8645001018750,8645086196875,270405128259656,-49
2026-04-01T03:13:18.830,4,8,17187,17.187,270490153051844,8730109775000,8730199196875,270490242490906,-49
