wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:13:18.766,4,9029,16,16,240,62,SUCCESS
2026-04-01T03:13:20.509,5,10770,17,17,255,61,SUCCESS
2026-04-01T03:13:22.250,6,12511,17,17,255,62,SUCCESS
2026-04-01T03:13:23.991,7,14251,17,17,255,62,SUCCESS
2026-04-01T03:13:25.731,8,15992,16,16,240,62,SUCCESS
2026-04-01T03:13:27.473,9,17733,17,17,255,62,SUCCESS
2026-04-01T03:13:29.213,10,19474,20,20,300,62,SUCCESS
2026-04-01T03:13:30.954,11,21215,19,19,285,62,SUCCESS
2026-04-01T03:13:32.698,12,22958,19,19,285,62,SUCCESS
2026-04-01T03:13:34.435,13,24696,19,19,285,62,SUCCESS
2026-04-01T03:13:36.179,14,26438,19,19,285,62,SUCCESS
2026-04-01T03:13:37.918,15,28178,19,19,285,62,SUCCESS
2026-04-01T03:13:39.679,16,29918,19,19,285,62,SUCCESS
2026-04-01T03:13:41.399,17,31660,20,20,300,61,SUCCESS
2026-04-01T03:13:43.140,18,33400,20,20,300,61,SUCCESS
2026-04-01T03:13:44.880,19,35141,19,19,285,62,SUCCESS
2026-04-01T03:13:46.621,20,36881,19,19,285,61,SUCCESS
2026-04-01T03:13:48.365,21,38626,19,19,285,62,SUCCESS
2026-04-01T03:13:50.103,22,40363,19,19,285,61,SUCCESS
2026-04-01T03:13:51.843,23,42104,16,16,240,62,SUCCESS
2026-04-01T03:13:53.584,24,43844,16,16,240,61,SUCCESS
2026-04-01T03:13:55.325,25,45585,19,19,285,62,SUCCESS
2026-04-01T03:13:57.064,26,47327,19,19,285,62,SUCCESS
2026-04-01T03:13:58.806,27,49067,19,19,285,61,SUCCESS
2026-04-01T03:14:00.556,28,50818,19,19,285,60,SUCCESS
2026-04-01T03:14:02.288,29,52550,19,19,285,62,SUCCESS
2026-04-01T03:14:04.028,30,54289,19,19,285,62,SUCCESS
2026-04-01T03:14:05.769,31,56030,20,20,300,62,SUCCESS
2026-04-01T03:14:07.511,32,57771,20,20,300,61,SUCCESS
2026-04-01T03:14:09.250,33,59512,20,20,300,61,SUCCESS
2026-04-01T03:14:10.991,34,61252,20,20,300,62,SUCCESS
2026-04-01T03:14:12.732,35,62993,20,20,300,62,SUCCESS
2026-04-01T03:14:14.475,36,64735,20,20,300,62,SUCCESS
2026-04-01T03:14:16.213,37,66475,20,20,300,61,SUCCESS
2026-04-01T03:14:17.955,38,68216,20,20,300,61,SUCCESS
2026-04-01T03:14:19.696,39,69957,19,19,285,62,SUCCESS
