wall_time,seq,timestamp_ms,rtt_raw_ns,rtt_est_ns,dist_cm,n_frames,status
2026-04-01T03:21:22.204,52,93191,75,75,1125,60,SUCCESS
2026-04-01T03:21:23.929,53,94917,93,93,1395,53,SUCCESS
2026-04-01T03:21:25.570,54,96556,69,69,1035,61,SUCCESS
2026-04-01T03:21:27.310,55,98297,76,76,1140,51,SUCCESS
2026-04-01T03:21:28.947,56,99934,82,82,1230,57,SUCCESS
2026-04-01T03:21:30.689,57,101675,87,87,1305,58,SUCCESS
2026-04-01T03:21:32.430,58,103416,96,96,1440,52,SUCCESS
2026-04-01T03:21:34.068,59,105055,90,90,1350,59,SUCCESS
2026-04-01T03:21:35.808,60,106795,139,139,2085,49,SUCCESS
2026-04-01T03:21:37.446,61,108433,160,160,2400,49,SUCCESS
2026-04-01T03:21:39.099,62,110086,115,115,1725,53,SUCCESS
2026-04-01T03:21:40.827,63,111813,145,145,2175,43,SUCCESS
2026-04-01T03:21:42.464,64,113451,111,111,1665,61,SUCCESS
2026-04-01T03:21:44.206,65,115192,101,101,1515,58,SUCCESS
2026-04-01T03:21:45.945,66,116932,107,107,1605,60,SUCCESS
2026-04-01T03:21:47.688,67,118674,125,125,1875,47,SUCCESS
2026-04-01T03:21:49.324,68,120312,82,82,1230,56,SUCCESS
2026-04-01T03:21:51.067,69,122054,83,83,1245,56,SUCCESS
2026-04-01T03:21:52.807,70,123794,102,102,1530,57,SUCCESS
2026-04-01T03:21:54.546,71,125534,88,88,1320,57,SUCCESS
2026-04-01T03:21:56.288,72,127275,85,85,1275,58,SUCCESS
2026-04-01T03:21:58.027,73,129016,91,91,1365,54,SUCCESS
2026-04-01T03:21:59.769,74,130757,90,90,1350,56,SUCCESS
2026-04-01T03:22:01.510,75,132498,91,91,1365,61,SUCCESS
2026-04-01T03:22:03.251,76,134238,111,111,1665,59,SUCCESS
2026-04-01T03:22:05.005,77,135993,114,114,1710,60,SUCCESS
2026-04-01T03:22:06.735,78,137721,135,135,2025,58,SUCCESS
2026-04-01T03:22:08.474,79,139460,157,157,2355,50,SUCCESS
2026-04-01T03:22:10.111,80,141099,114,114,1710,55,SUCCESS
2026-04-01T03:22:11.853,81,142840,97,97,1455,52,SUCCESS
2026-04-01T03:22:13.505,82,144492,102,102,1530,59,SUCCESS
2026-04-01T03:22:15.232,83,146219,95,95,1425,50,SUCCESS
2026-04-01T03:22:16.884,84,147871,89,89,1335,56,SUCCESS
2026-04-01T03:22:18.611,85,149599,84,84,1260,56,SUCCESS
