wall_time,seq,frame_idx,rtt_ps,rtt_ns,t1_ps,t2_ps,t3_ps,t4_ps,rssi
2026-04-01T03:23:24.358,36,0,140625,140.625,31557719919876,63270546709375,63270636196875,31557809548001,-77
2026-04-01T03:23:24.366,36,1,143750,143.750,31559814919876,63272641681250,63272727196875,31559900579251,-77
2026-04-01T03:23:24.373,36,2,139062,139.062,31561923919876,63274750646875,63274836196875,31562009608938,-77
2026-04-01T03:23:24.380,36,3,142187,142.187,31564041919876,63276868617187,63276954196875,31564127641751,-77
2026-04-01T03:23:24.387,36,4,140625,140.625,31567382919876,63280209568750,63280295196875,31567468688626,-77
2026-04-01T03:23:24.394,36,5,143750,143.750,31568279919876,63281106556250,63281192196875,31568365704251,-77
2026-04-01T03:23:24.401,36,6,143749,143.749,31570394919876,63283221526562,63283307196875,31570480733938,-77
2026-04-01T03:23:24.409,36,7,143750,143.750,31572485919876,63285312496875,63285398196875,31572571763626,-77
2026-04-01T03:23:24.415,36,8,139062,139.062,31658864932376,63371690253125,63371780196875,31658955015188,-77
2026-04-01T03:23:24.423,36,9,140624,140.624,31660959919876,63373785210937,63373871196875,31661046046438,-77
2026-04-01T03:23:24.430,36,10,140624,140.624,31663059932376,63375885195312,63375971196875,31663146074563,-77
2026-04-01T03:23:24.437,36,11,142187,142.187,31665168932376,63377994164062,63378080196875,31665255107376,-77
2026-04-01T03:23:24.445,36,12,140625,140.625,31667313919876,63380139118750,63380225196875,31667400138626,-77
2026-04-01T03:23:24.452,36,13,142187,142.187,31669413919876,63382239090625,63382324196875,31669499168313,-77
2026-04-01T03:23:24.459,36,14,142187,142.187,31671521932376,63384347071875,63384432196875,31671607199563,-77
2026-04-01T03:23:24.466,36,15,140624,140.624,31674395919876,63387221017187,63387306196875,31674481240188,-77
2026-04-01T03:23:24.474,36,16,142187,142.187,31760022919876,63472846778125,63472936196875,31760112480813,-77
2026-04-01T03:23:24.481,36,17,140624,140.624,31762110919876,63474934745312,63475020196875,31762196512063,-77
2026-04-01T03:23:24.488,36,18,143749,143.749,31764216919876,63477040717187,63477126196875,31764302543313,-77
2026-04-01T03:23:24.497,36,19,140624,140.624,31771625919876,63484449607812,63484535196875,31771711649563,-77
2026-04-01T03:23:24.504,36,20,143750,143.750,31772737919876,63485561593750,63485647196875,31772823666751,-77
2026-04-01T03:23:24.511,36,21,140625,140.625,31774784919876,63487608562500,63487694196875,31774870694876,-77
2026-04-01T03:23:24.517,36,22,142187,142.187,31861201919876,63574024307812,63574114196875,31861291951126,-77
2026-04-01T03:23:24.526,36,23,145312,145.312,31865456919876,63578279248437,63578365196875,31865543013626,-78
2026-04-01T03:23:24.533,36,24,140624,140.624,31867511932376,63580334229687,63580420196875,31867598040188,-77
2026-04-01T03:23:24.539,36,25,142187,142.187,31869657919876,63582480187500,63582566196875,31869744071438,-77
2026-04-01T03:23:24.547,36,26,143749,143.749,31871750932376,63584573170312,63584659196875,31871837102688,-77
2026-04-01T03:23:24.555,36,27,143749,143.749,31873895919876,63586718126562,63586804196875,31873982133938,-77
2026-04-01T03:23:24.562,36,28,143749,143.749,31875968919876,63588791095312,63588876196875,31876054165188,-77
2026-04-01T03:23:24.570,36,29,145312,145.312,31962841919876,63675662839062,63675752196875,31962931423001,-77
2026-04-01T03:23:24.576,36,30,142187,142.187,31966127919876,63678948787500,63679034196875,31966213471438,-77
2026-04-01T03:23:24.582,36,31,142187,142.187,31967019919876,63679840773437,63679926196875,31967105485501,-77
2026-04-01T03:23:24.590,36,32,142187,142.187,31969146919876,63681967743750,63682053196875,31969232515188,-77
2026-04-01T03:23:24.597,36,33,143750,143.750,31971246919876,63684067715625,63684153196875,31971332544876,-77
2026-04-01T03:23:24.604,36,34,143750,143.750,31973373919876,63686194684375,63686280196875,31973459576126,-77
2026-04-01T03:23:24.612,36,35,142187,142.187,31975455919876,63688276653125,63688362196875,31975541605813,-77
2026-04-01T03:23:24.620,36,36,142187,142.187,31977564919876,63690385623437,63690471196875,31977650635501,-77
2026-04-01T03:23:24.626,36,37,137499,137.499,32064761919876,63777581354687,63777671196875,32064851899563,-77
2026-04-01T03:23:24.634,36,38,140625,140.625,32066856919876,63779676328125,63779762196875,32066942929251,-77
2026-04-01T03:23:24.641,36,39,135937,135.937,32068956919876,63781776293750,63781863196875,32069043958938,-77
2026-04-01T03:23:24.648,36,40,137499,137.499,32071093919876,63783913264062,63783999196875,32071179990188,-77
2026-04-01T03:23:24.655,36,41,139062,139.062,32073175932376,63785995246875,63786081196875,32073262021438,-77
2026-04-01T03:23:24.663,36,42,137500,137.500,32075320919876,63788140203125,63788226196875,32075407051126,-77
2026-04-01T03:23:24.671,36,43,135937,135.937,32077420919876,63790240170312,63790326196875,32077507082376,-77
